id,rating,title,content,author,date,helpful_votes,verified_purchase
11,5,수기 기록 귀찮은 분들 무조건 T 모델 사세요,블루투스 안 되는 기본 모델이랑 고민하다가 7156T로 샀는데 탁월한 선택이었습니다. 엑셀로 내보내기 기능도 있어서 병원 제출용으로 딱입니다.,스마트라이프88,2025-02-22,45,true
12,5,연속으로 3번 재도 편차가 거의 없어요,"기존에 쓰던 저가형 손목 혈압계는 잴 때마다 20씩 차이나서 버렸는데, 이건 3번 연속 측정해도 2~3 차이로 매우 안정적입니다.",꼼꼼리뷰어,2025-03-10,29,true
13,5,팔 움직임 감지 기능 유용합니다,측정 도중에 몸을 움직이거나 말하면 화면에 움직임 경고 아이콘이 떠서 다시 올바른 자세로 측정하게 도와주네요. 디테일이 좋습니다.,바른자세맨,2025-03-29,14,false
14,5,직관적인 화면 구성과 빠른 측정 속도,버튼 한 번 누르면 바로 가압 시작되고 측정 완료까지 30초도 안 걸립니다. 최고/최저 혈압과 맥박수가 한눈에 들어옵니다.,스피드체크,2025-04-18,18,true
15,5,가족 모두 함께 사용하기 좋습니다,앱에서 계정별 관리도 가능하고 게스트 모드로 측정할 수도 있어서 온 가족 아침 루틴이 되었습니다. 마감 품질도 훌륭합니다.,해피패밀리,2025-05-07,22,true
16,5,부모님도 일주일 만에 완벽 적응하셨어요,스마트폰 기능 어려워하시던 70대 아버지도 블루투스 전송 버튼 누르는 법 알려드리니 이제 스스로 앱에 기록 넣고 확인하십니다.,달려라하니,2025-05-26,33,true
17,5,병원 간호사 친구가 추천해줘서 샀습니다,병원에서도 오므론 제품 많이 쓴다고 해서 믿고 구매했는데 기대 이상입니다. 수치 흔들림 없고 완성도 높습니다.,메디컬러버,2025-06-15,41,true
18,5,배송도 빠르고 제품도 정품 등록 잘 됩니다,공식 수입 정품이라 앱 등록과 AS 보증도 확실하고 배터리도 에너자이저 기본 4개 동봉되어 있어서 바로 썼습니다.,쿨거래원츄,2025-07-04,9,true
19,5,피트커프 방향 상관없이 정확히 측정됨,360도 전방위 측정 피트커프라 센서 위치를 팔 안쪽에 딱 맞추지 않아도 정확하게 잡히는 점이 기술력이네요. 대만족입니다.,테크트리,2025-08-01,28,false
20,5,혈압 수치 들쑥날쑥하던 걱정이 사라졌어요,"타사 제품 쓸 때는 오차가 너무 심해 불안했는데, 이 제품은 늘 일관된 범위를 보여줘서 안심하고 식단 관리 중입니다.",그린샐러드,2025-09-12,17,true
21,5,선물용으로 2개째 재구매합니다,제가 먼저 6개월 써보고 너무 좋아서 이번엔 장인어른 댁에 하나 더 보내드렸습니다. 블루투스 연동 기능이 정말 핵심이에요.,사위의마음,2025-10-30,36,true
22,5,완성도 높은 가정용 혈압계의 정석,"버튼 감도, 디스플레이 시야각, 커프 내구성 모두 흠잡을 데가 없습니다. 혈압 관리 시작하시는 분들에게 1순위로 권하고 싶네요.",정석리뷰어,2025-12-14,25,true
23,5,만족도 100% 혈압계입니다,기록 앱 연동도 빠르고 커프도 튼튼해서 매일 아침마다 기분 좋게 혈압 체크하고 있습니다. 적극 추천해요.,모닝커피한잔,2026-02-18,11,true
24,4,정확하고 좋은데 전원 어댑터가 별매라 아쉽네요,"측정 정확도나 커프 착용감은 5점 만점인데, 기본 구성품에 AC 어댑터가 안 들어있어서 건전지로만 써야 하는 게 약간 아쉽습니다. 그래도 만족해요.",솔직후기단,2024-07-22,46,true
25,4,커프는 정말 편한데 보관 파우치가 좀 얇아요,피트커프 형태라 원통형이라 부피가 좀 있어서 동봉된 천 파우치에 넣을 때 살짝 빡빡합니다. 하드케이스였으면 더 좋았을 것 같아요.,실속파소비자,2024-08-03,20,true
26,4,앱 연동 가끔 딜레이 있지만 전반적으로 만족,블루투스 연결이 10번에 1번 정도 바로 안 붙고 앱을 껐다 켜야 할 때가 있습니다. 하지만 데이터 연동되고 나면 그래프로 보기 아주 편합니다.,아이폰유저K,2024-08-25,33,true
27,4,"정확도는 최상, 가격은 조금 있는 편",일반 모델보다 블루투스 기능 때문에 가격이 몇 만원 더 비싸지만 스마트폰으로 추이 관리할 수 있어서 돈값은 충분히 합니다.,가성비따짐,2024-09-14,18,true
28,4,화면 백라이트 기능이 없는 점은 소소한 단점,"대낮이나 불 켜진 방에서는 글자가 커서 잘 보이는데, 새벽에 어두운 방에서 불 안 켜고 잴 때는 화면에 불이 안 들어와서 잘 안 보여요.",새벽체크맨,2024-10-05,49,true
29,4,병원 측정값이랑 큰 차이 없이 잘 나옵니다,혈압약 복용 중이라 매일 기록하는데 수치 일정하고 좋습니다. 커프 찍찍이 소리가 좀 큰 편이지만 제품 자체는 훌륭해요.,건강관리중,2024-10-22,16,true
30,4,피트커프라 팔 둘레 두꺼우신 분은 확인 필요,"저는 팔 둘레가 보통이라 딱 맞고 편한데, 남편 팔뚝이 두꺼운 편이라 처음 넣을 때 살짝 타이트하다고 하네요. 표준 체형엔 아주 좋습니다.",주부9단박씨,2024-11-12,37,true
31,4,측정 편차 적고 안정적인 측정값,팔뚝형이라 손목형보다 훨씬 안정적입니다. 하루 2번씩 꾸준히 쓰고 있는데 배터리도 3달 넘게 잘 버텨주고 있네요.,루틴맨,2024-12-01,14,true
32,4,앱 UI가 조금 더 직관적이면 좋겠어요,"혈압계 본체 성능이나 블루투스 전송은 완벽한데, 오므론 커넥트 앱 메뉴 구조가 일본식 번역 느낌이라 처음 적응할 때 약간 헷갈렸습니다.",앱테스터,2024-12-19,26,false
33,4,사용하기 쉽고 측정 속도도 빠릅니다,전원 켜고 시작 누르면 끝이라 기계치인 저도 쉽게 씁니다. 가압할 때 팔 조임이 약간 묵직하긴 한데 금방 끝나서 괜찮아요.,단순한게좋아,2025-01-08,8,true
34,4,건전지 교체 시기 알림이 있어서 편해요,배터리 잔량 표시가 있어서 미리 건전지 준비해둘 수 있습니다. AA 건전지 4개 들어가는데 하루 2번 측정 기준 4~5개월은 거뜬하네요.,알뜰살뜰러,2025-01-27,13,true
35,4,부모님댁에 놔드렸는데 잘 쓰십니다,혼자 커프 못 차실까 봐 걱정했는데 피트커프 형태라 원통에 팔 쑥 넣고 당기면 되니 쉽게 차십니다. 버튼 안내 음성은 안 나오는 게 살짝 아쉽네요.,효녀심청이,2025-02-14,22,true
36,4,기존 쓰던 10년 된 구형 오므론에서 기변,구형은 블루투스가 안 돼서 일일이 적었는데 앱으로 넘어가니 너무 편합니다. 역시 혈압계는 오므론이 믿음직스럽네요.,오므론팬,2025-03-05,19,true
37,4,오류 감지가 정확해서 잘못 잴 일이 없어요,측정 중 기침하거나 움직이면 에러(E) 뜨면서 다시 재라고 알려줍니다. 제대로 된 자세에서만 측정값이 나와서 신뢰도가 높습니다.,정확제일,2025-03-24,15,true
38,4,"기능은 대만족, 블루투스 초기 설정만 신경 쓰면 됨","처음 앱이랑 페어링할 때 페어링 버튼 2초 이상 꾹 누르는 걸 몰라서 조금 헤맸는데, 한 번 연결하고 나니 다음부턴 자동 동기화 잘 됩니다.",초보세팅러,2025-04-11,30,false
39,4,만족스러운 가정용 헬스케어 기기,혈압 수치 오차도 거의 없고 디자인도 깔끔합니다. 전용 하드 케이스 하나 사서 보관하면 딱일 것 같아요.,홈케어맨,2025-04-30,7,true
40,4,병원 혈압계 수치와 3~4 이내 차이,내과 진료 시 들고 가서 직접 의사 선생님 보는 앞에서 비교 측정해봤는데 수치가 거의 일치했습니다. 마음 놓고 씁니다.,내과단골,2025-05-18,28,true
41,4,커프 착용 위치 표시 덕분에 편리,커프에 팔꿈치 위 1~2cm 위치 표시가 직관적으로 그려져 있어서 초보자도 바른 위치에 쉽게 착용할 수 있습니다.,가이드따라하기,2025-06-06,12,true
42,4,"무선 연동의 편리함, 가격은 살짝 부담",매일 수치 적는 스트레스에서 해방된 것만으로도 가치는 충분합니다. 1~2만원만 더 저렴했으면 완벽했을 듯합니다.,스마트초이스,2025-06-25,21,true
43,4,측정 중 모터음이 크지 않아 좋습니다,새벽에 가족들 잘 때 측정해도 소음 때문에 깰 걱정이 없어서 좋습니다. 가압 속도도 적당하고 무난하게 좋습니다.,나이트올,2025-07-15,9,true
44,4,불규칙 맥파 감지 기능 안심돼요,가끔 맥박이 불규칙할 때 화면에 하트 마크가 깜빡이면서 표시됩니다. 건강 체크용으로 아주 훌륭한 기능입니다.,심장건강체크,2025-08-19,17,true
45,4,피트커프 내구성이 좋아 보입니다,6개월 넘게 매일 쓰는데 커프 벨크로나 튜브 이음새 부분 벌어짐 없이 짱짱합니다. 오므론 이름값 하네요.,오래쓰는사람,2025-09-08,11,true
46,4,스마트폰 여러 대 연동은 계정 분리가 필요,"부모님 두 분 폰에 각각 연동하려면 오므론 계정을 따로 파서 전환해야 하는 점이 조금 번거롭지만, 한 사람 기준으로는 완벽합니다.",투폰유저,2025-09-27,34,true
47,4,병원 방문 횟수 줄어들고 안심이 됨,가정에서 아침저녁 일정한 시간에 재는 혈압이 제일 정확하다고 해서 샀는데 정말 잘 산 것 같습니다. 만족합니다.,홈트족77,2025-10-16,15,false
48,4,화면 시인성은 좋은데 각도 조절은 안 됨,식탁 위에 올려놓고 재면 딱 좋은 각도입니다. 바닥에 두고 재기엔 화면이 평평해서 눈높이를 맞춰야 합니다.,각도중요,2025-11-04,10,true
49,4,혈압 측정 편차 없이 깔끔함,3주 동안 아침마다 같은 조건에서 재고 있는데 수치가 매우 일정하게 잡힙니다. 신뢰성 하나는 확실하네요.,데이터수집가,2025-11-23,13,true
50,4,원터치 조작이라 어르신들도 바로 씀,시어머니 선물로 사드렸는데 복잡한 메뉴 없이 파란색 시작 버튼만 누르면 되니 아주 편해하십니다.,착한며느리,2025-12-12,23,true
51,4,블루투스 동기화 속도 쾌적합니다,측정 끝나고 앱 켜면 삐빅 소리 나면서 1~2초 만에 측정값이 폰으로 들어옵니다. 메모 안 해도 되니 세상 편해요.,스피디라이프,2026-01-05,16,true
52,4,팔뚝 압박감 적당하고 편안함,"다른 혈압계는 공기 찰 때 팔이 터질 것처럼 아팠는데, 이건 스마트 가압이라 딱 측정 가능한 압력까지만 차올라서 안 아픕니다.",부드러운가압,2026-01-24,27,true
53,4,기록용 수첩 이제 안 써도 되네요,월별 평균 혈압이랑 아침/저녁 분류 기능이 앱에 있어서 의사 선생님 상담할 때 너무 유용하게 쓰고 있습니다.,스마트헬스,2026-02-12,19,true
54,4,오므론 HEM-7156T 추천할 만합니다,피트커프의 편리함과 블루투스의 편리함이 합쳐져서 혈압 측정 스트레스가 완전히 없어졌습니다. 강추합니다.,건강제일주의,2026-03-03,14,true
55,4,어댑터 미포함만 빼면 훌륭한 기기,건전지 교체 귀찮으신 분은 정품 어댑터 따로 사시는 거 추천드립니다. 기계 자체 측정 능력은 훌륭합니다.,실용주의자,2026-04-15,25,false
56,4,1년째 고장 없이 잘 쓰고 있습니다,매일 아침 루틴으로 혈압 체크하는데 잔고장 한 번 없이 튼튼합니다. 블루투스 기능도 아주 잘 돌아가요.,롱텀유저,2026-06-02,31,true
57,3,측정은 잘 되는데 앱 동기화가 가끔 튕겨요,"혈압계 본체는 정확하고 커프도 좋은데, 안드로이드 폰에서 오므론 커넥트 앱 블루투스 동기화할 때 가끔 연결 실패가 떠서 앱을 재실행해야 합니다.",갤유저_진,2024-07-18,28,true
58,3,피트커프가 생각보다 뻣뻣해서 보관이 불편해요,"커프가 형태가 잡혀있는 원통형이라 팔에 감기는 편한데, 접히질 않아서 서랍에 넣거나 여행 갈 때 부피를 꽤 많이 차지합니다.",미니멀리스트,2024-08-16,19,true
59,3,재측정할 때 간격 안 두면 수치 차이 납니다,연속으로 바로 누르면 10 이상 높게 나오네요. 최소 2~3분 휴식하고 재야 제대로 나옵니다. 사용 설명서 숙지가 필수입니다.,체크맨,2024-09-09,32,true
60,3,화면 글씨는 큰데 어두울 때 안 보여요,LCD에 백라이트가 없어서 불 끈 상태에서는 수치를 읽을 수 없습니다. 밤이나 새벽에 잴 때 항상 스탠드 켜야 해서 번거롭네요.,야행성인간,2024-10-18,41,true
61,3,기계는 좋은데 가격 대비 구성품이 아쉽습니다,이 가격대 제품인데 AC 전원 어댑터도 안 주고 천 파우치도 너무 얇아요. 본체 성능만 보고 샀지만 구성품은 섭섭합니다.,구성품따짐,2024-11-25,22,true
62,3,팔뚝 두꺼운 남성에게는 커프가 좀 낍니다,헬스해서 팔 둘레 34cm 정도 되는데 피트커프 끼울 때 팔뚝이 꽉 끼어서 올리기 힘듭니다. 팔 굵으신 분들은 대형 커프 확인해보세요.,헬창김씨,2024-12-14,36,false
63,3,블루투스 페어링 단계가 조금 복잡해요,기계 조작에 서툰 60대 이상 어르신 혼자서 앱 깔고 블루투스 등록하기엔 다소 어렵습니다. 자녀가 처음 세팅해 드려야 합니다.,디지털효도,2025-01-20,25,true
64,3,건전지 소모가 생각보다 빠른 느낌입니다,하루 3번 이상 자주 측정하고 블루투스 연동 매번 하니까 2달 정도 만에 배터리 부족 표시가 뜨네요. 충전식 배터리 쓰는 게 낫겠어요.,배터리체크,2025-02-18,16,true
65,3,평범하고 무난한 성능의 혈압계,특별히 엄청 뛰어난 것도 아니고 나쁜 것도 없습니다. 블루투스 기능 필요 없는 분들은 그냥 7156 기본형 사도 될 것 같네요.,무난이,2025-03-15,11,true
66,3,가끔 E-1 에러가 뜨면서 측정이 멈춰요,커프를 조금만 느슨하게 감으면 E-1 에러 뜨면서 공기가 빠져버립니다. 피트커프라도 꽉 밀착해서 감아야 에러가 안 납니다.,에러해결사,2025-04-05,20,true
67,3,2인 사용자 분리 저장이 본체에서는 안 됨,"본체 자체에는 1인 기록만 저장되고, 다른 사람은 앱에서 전환해서 써야 해서 부부가 같이 쓰기엔 살짝 불편한 감이 있습니다.",부부혈압관리,2025-04-26,29,false
68,3,측정값은 정확한데 벨크로 소리가 너무 커요,측정 다 끝나고 피트커프 뗄 때 찌이익 하는 벨크로 소리가 꽤 커서 조용한 방에서는 눈치 보입니다. 성능은 괜찮아요.,조용한새벽,2025-05-14,14,true
69,3,오므론 커넥트 앱 업데이트 후 가끔 렉 걸림,앱 버전 올라가면서 광고나 추천 메뉴가 많아져서 그런지 로딩이 예전보다 느려졌습니다. 동기화 자체는 됩니다.,앱업뎃싫어,2025-06-02,18,true
70,3,측정할 때 팔 압박감이 제법 강합니다,혈압이 좀 높게 나오는 날에는 공기를 더 세게 넣어서 팔이 꽤 뻐근할 정도로 꽉 조입니다. 통증 예민하신 분은 참고하세요.,압박감주의,2025-07-21,23,true
71,3,병원 수치보다 약간 높게 나오는 편,병원 기계보다 수축기 혈압이 5~8 정도 높게 측정되는 경향이 있습니다. 추세 확인용으로는 괜찮은데 절대값은 참고만 합니다.,비교분석러,2025-08-30,27,true
72,3,그냥저냥 쓸만한데 가성비는 글쎄요,블루투스 전송 편하긴 한데 가격 생각하면 어댑터나 케이스 정도는 기본으로 넣어줬어야 맞지 않나 싶습니다.,가성비탐구,2025-10-11,15,true
73,3,설명서 글씨가 너무 작아요,어르신들이 많이 쓰는 의료기기인데 동봉된 설명서 글씨 크기가 너무 작아서 제가 돋보기로 보고 부모님께 설명해 드렸습니다.,설명서정독,2025-11-18,19,true
74,3,블루투스 동기화 누르는 게 약간 번거로움,측정 후 완전 자동 전송이 아니라 앱을 열고 동기화 새로고침을 당겨야 수치가 들어옵니다. 백그라운드 자동 전송이면 더 좋았을 텐데요.,자동화원츄,2026-01-16,24,false
75,3,공기 주입 펌프 소리가 밤엔 신경 쓰여요,낮에는 안 들리는데 밤에 조용할 때 재면 웅~ 하는 모터 돌아가는 소리가 제법 큽니다. 낮에 주로 측정합니다.,귀밝은사람,2026-03-22,8,true
76,3,보통 수준입니다. 딱 기대한 만큼이에요,혈압 측정 잘 되고 앱으로 기록되는 딱 그 기능입니다. 엄청나게 혁신적이진 않지만 기본은 합니다.,평범한소비자,2026-05-10,6,true
77,2,스마트폰 블루투스 연결이 자꾸 끊깁니다,일주일 쓰다 보니 폰이랑 페어링이 자꾸 풀려서 블루투스 기기 삭제하고 다시 등록하기를 세 번째 반복하고 있습니다. 스트레스 받네요.,블루투스답답,2024-07-29,39,true
78,2,측정할 때마다 편차가 너무 심해요,"가만히 앉아서 1분 간격으로 3번 쟀는데 135, 118, 142 이렇게 20 넘게 널뛰기합니다. 어떤 값을 믿어야 할지 모르겠네요.",불안한측정,2024-08-31,44,true
79,2,피트커프 팔뚝 조임이 너무 아픕니다,커프가 딱딱한 원통형 구조라 가압할 때 팔뚝 살이 집히면서 멍이 들 것 같이 아픕니다. 부드러운 천 커프가 차라리 낫네요.,팔아파요,2024-10-10,31,true
80,2,건전지 4개가 한 달도 못 가네요,하루 아침저녁 2번씩 쟀는데 새 건전지 넣은 지 25일 만에 배터리 깜빡입니다. 어댑터 없이는 유지비가 너무 많이 듭니다.,배터리귀신,2024-11-08,21,true
81,2,오므론 커넥트 앱 가입이랑 인증 너무 복잡함,그냥 혈압 데이터만 보고 싶은데 이메일 가입에 본인인증에 약관 동의가 너무 많고 서버 연결 지연도 잦아서 실망스럽습니다.,복잡한거싫음,2024-12-30,27,false
82,2,커프 공기 주입 튜브 연결부가 헐거워요,본체 옆 구멍에 튜브 꽂는 플라스틱 잭이 헐거워서 측정 도중에 툭 빠지면서 에러 뜨는 경우가 종종 있습니다. 마감 불량 같아요.,마감아쉬움,2025-02-09,18,true
83,2,병원 혈압계보다 항상 15 이상 높게 나와요,집에서 재면 145 나오는데 내과에서 간호사님이 수동으로 재주시면 125 나옵니다. 백의고혈압도 아니고 기계 측정치 차이가 너무 커요.,오차측정러,2025-03-31,35,true
84,2,어두운 곳에서 액정이 전혀 안 보여요,요즘 저가형 시계도 백라이트 다 달려 나오는데 10만원 넘는 혈압계 액정에 라이트가 없다는 게 말이 안 됩니다. 새벽 측정 불가능해요.,노라이트불만,2025-05-22,29,true
85,2,피트커프 부피가 너무 커서 서랍에 안 들어감,커프가 접히지 않는 둥근 플라스틱 뼈대 형태라 부피가 너무 큽니다. 보관함에도 안 들어가고 휴대성은 0점입니다.,공간차지왕,2025-07-09,12,true
86,2,팔 움직임 에러 너무 민감하게 반응함,숨만 조금 크게 쉬어도 움직임 에러 표시 뜨면서 측정이 취소됩니다. 숨 참고 가만히 있어야 겨우 한 번 측정되네요.,숨참고혈압,2025-09-19,16,false
87,2,AS 센터 통화 연결이 너무 힘듭니다,블루투스 페어링 오류 때문에 고객센터 문의하려 했는데 3일 내내 통화 중이라 연결을 못 했습니다. 사후 관리가 실망스럽네요.,답답한AS,2025-11-28,24,true
88,2,가성비가 너무 떨어집니다,블루투스 하나 추가됐다고 기본형에 비해 가격이 너무 뜁니다. 앱 완성도가 높으면 모르겠는데 앱도 오류 잦아서 후회되네요.,후회막심러,2026-01-29,20,true
89,2,부모님 쓰시기에 앱 연동은 무리입니다,혼자 앱 켜고 블루투스 동기화 누르는 걸 전혀 못 하셔서 결국 수첩에 손으로 적고 계십니다. 비싼 T 모델 살 이유가 없었네요.,수기작성행,2026-03-14,17,true
90,2,커프 찍찍이 내구성이 약해요,쓴 지 4달 정도 됐는데 커프 벨크로 접착력이 약해져서 가압할 때 찍찍이가 뜯어지면서 풀립니다. 커프만 따로 사야 하나 봐요.,벨크로실망,2026-05-28,15,true
91,1,측정할 때마다 에러 뜨고 제대로 안 됨,"처음 며칠 잘 되는가 싶더니 E-2, E-3 에러가 번갈아 뜨면서 측정이 계속 멈춥니다. 커프를 다시 차도 마찬가지고 완전 불량입니다.",뽑기실패자,2024-08-20,48,true
92,1,블루투스 연결 첫날 이후로 아예 안 됨,앱에서 기기 검색 자체가 안 됩니다. 블루투스 껐다 켜고 폰 재부팅하고 앱 지웠다 깔아도 기기를 못 찾네요. 비싼 돈 주고 산 의미가 없습니다.,화가난다00,2024-09-22,43,true
93,1,수치가 말도 안 되게 엉터리로 나와요,정상 혈압인 사람이 재도 160 넘게 나오고 바로 다시 재면 95 나오고 그럽니다. 서비스센터 보냈더니 정상이라는데 도저히 신뢰할 수가 없네요.,엉터리기계,2024-11-15,50,true
94,1,팔뚝 피멍 들 정도로 너무 세게 조여요,가압 감지가 고장 났는지 끝도 없이 공기가 들어가더니 팔이 저리고 실핏줄 터져서 피멍 들었습니다. 너무 위험해서 바로 반품 신청했습니다.,멍투성이팔,2025-01-03,47,true
95,1,한 달 만에 전원이 아예 안 들어옵니다,새 건전지 4개 다 갈아 끼워도 액정에 불도 안 들어오고 전원 버튼 반응이 전혀 없습니다. 내구성이 이렇게 형편없을 줄 몰랐네요.,벽돌된혈압계,2025-03-01,38,true
96,1,오므론 이름만 믿고 샀다가 대실망,"앱 동기화 오류, 측정 편차, 불친절한 고객센터 삼박자 갖췄네요. 교환 요청했더니 왕복 배송비 요구하고 응대 최악입니다.",서비스최악,2025-06-18,36,false
97,1,피트커프 팔에 안 맞아서 쓰지도 못함,커프 구경이 정해져 있어서 팔이 조금만 굵거나 살집 있으면 아예 착용 자체가 불가능합니다. 반품도 개봉했다고 거부당했네요.,돈버렸음,2025-08-14,29,true
98,1,측정 수치가 30씩 널뛰기해서 신뢰도 0,병원 혈압계랑 30 이상 차이 나고 재는 족족 다르게 나옵니다. 건강 관리하려고 샀다가 수치 보고 혈압만 더 오르네요.,혈압상승기계,2025-10-25,42,true
99,1,앱 데이터가 주기적으로 증발합니다,앱 업데이트하더니 지난 3달 치 측정 기록이 싹 다 날아갔습니다. 백업도 안 되고 복구도 안 된다고 하네요. 절대 앱 믿지 마세요.,데이터날림,2026-02-05,45,true
100,1,기계 내부에서 삐걱거리는 소음 발생,공기 채울 때마다 내부 모터에서 쇠 긁히는 듯한 쇳소리가 심하게 납니다. 불량인 것 같은데 교환 절차 너무 복잡해서 포기했습니다.,소음스트레스,2026-04-20,21,true
